發生時間,發生地點,死亡受傷人數,車種,經度,緯度
110年06月18日 09時06分14秒,花蓮縣鳳林鎮平善路口 / 花蓮縣鳳林鎮民國街口,死亡1;受傷3,自用-小客車;自用-小客車;乘客-人;乘客-人,121.464825,23.773309
110年06月18日 10時00分35秒,新竹縣湖口鄉民生街363號前0.0公尺,死亡1;受傷0,普通重型-機車,121.054649,24.904832
110年06月18日 10時49分00秒,屏東縣東港鎮中正路二段與沿海路路口,死亡1;受傷0,營業用-曳引車;腳踏自行車-慢車,120.467480,22.480901
110年06月18日 15時07分00秒,臺北市中山區民權東路2段196號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車;自用-小客車;自用-小客車,121.536079,25.062325
110年06月19日 02時20分00秒,高雄市三民區國道1號 363公里400.0公尺處南側向路肩,死亡1;受傷1,自用-小客車;乘客-人,120.333205,22.656458
110年06月19日 03時42分00秒,臺北市士林區百齡橋前0.0公尺,死亡1;受傷0,自用-小客車,121.509007,25.086686
110年06月19日 04時30分00秒,臺東縣卑南鄉泰安村泰安路425號前0.0公尺,死亡1;受傷1,普通重型-機車;乘客-人,121.068905,22.798976
110年06月19日 05時03分00秒,新北市土城區新北市土城區承天路053608號燈桿處,死亡1;受傷1,普通重型-機車;乘客-人,121.436049,24.966143
110年06月19日 10時40分52秒,新竹縣峨眉鄉台3線 89公里400.0公尺處,死亡1;受傷0,大型重型2(250-550C.C.)-機車;自用-小貨車(含客、貨兩用);民營客運-大客車,120.993842,24.700820
110年06月19日 13時02分00秒,新北市鶯歌區鶯桃路口 / 新北市鶯歌區永吉街口,死亡1;受傷1,自用-小客車;電動自行車-慢車;乘客-人,121.342275,24.951636
110年06月19日 18時45分37秒,宜蘭縣宜蘭市黎明二路口 / 宜蘭縣宜蘭市黎明二路口,死亡1;受傷0,自用-小客車;普通重型-機車,121.773713,24.748286
110年06月20日 14時55分00秒,彰化縣福興鄉西勢村福建路126號前0.0公尺,死亡1;受傷0,電動自行車-慢車,120.434404,24.039568
110年06月20日 16時43分00秒,新北市三重區河邊北街口 / 新北市三重區河邊北街口,死亡1;受傷0,自用-小客車;普通重型-機車,121.503661,25.068101
110年06月20日 18時00分00秒,臺中市北屯區松強里松竹路 / 臺中市北屯區松強里松和街,死亡1;受傷1,普通重型-機車;普通重型-機車,120.693282,24.182942
110年06月21日 17時39分14秒,臺南市鹽水區岸內里蔦松路(路燈編號591267)前,死亡1;受傷0,腳踏自行車-慢車,120.272135,23.333636
110年06月21日 21時17分00秒,桃園市大園區三民路2段810-1號前0.0公尺附近,死亡1;受傷0,普通重型-機車,121.260969,25.069873
110年06月22日 02時50分00秒,屏東縣九如鄉九如路一段69之8號前,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.488595,22.722886
110年06月22日 05時16分00秒,臺北市大同區民生西路 / 臺北市大同區環河北路1段,死亡1;受傷0,自用-小客車;行人-人,121.508185,25.056895
110年06月22日 06時45分00秒,屏東縣枋山鄉台26線 6公里900.0公尺處北側向路肩,死亡1;受傷0,自用-小客車,120.700097,22.153352
110年06月22日 09時01分00秒,桃園市中壢區東園路附近 / 桃園市中壢區吉林路附近,死亡1;受傷0,電動自行車-慢車;營業用-曳引車,121.239306,24.979223
110年06月22日 19時08分34秒,屏東縣萬丹鄉竹林村竹林路28號,死亡1;受傷1,普通重型-機車;腳踏自行車-慢車,120.510417,22.596241
110年06月22日 20時55分00秒,高雄市鼓山區中華一路 / 高雄市鼓山區美術北三路,死亡1;受傷0,自用-小客車;普通重型-機車,120.292308,22.662519
110年06月23日 06時44分22秒,臺南市柳營區八翁里南69線3.4公里處,死亡1;受傷1,自用-小客車;自用-小客車,120.291292,23.271276
110年06月23日 14時34分00秒,新竹市東區東大路口 / 新竹市東區北大路,死亡1;受傷0,自用-小客車;大型重型1(550C.C.以上)-機車;自用-小貨車(含客、貨兩用),120.969889,24.810966
110年06月23日 17時48分00秒,苗栗縣頭份市興隆里苗２鄉道興國幹95D9266EA03號電桿前,死亡1;受傷0,普通重型-機車;自用-小客車,120.940109,24.704443
110年06月23日 22時28分00秒,臺北市北投區洲美街267號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-大貨車,121.499093,25.106776
110年06月24日 18時27分50秒,嘉義縣水上鄉義興村村里道路(燈桿編號:127887),死亡2;受傷0,普通重型-機車;大型重型2(250-550C.C.)-機車,120.416677,23.420924
110年06月25日 00時14分00秒,桃園市觀音區廣大路542巷前0.0公尺附近,死亡1;受傷0,普通重型-機車,121.155247,25.032096
110年06月25日 02時36分00秒,高雄市燕巢區深興路2054路燈號前0.0公尺東側,死亡1;受傷1,普通重型-機車;普通重型-機車,120.393401,22.773010
110年06月25日 04時01分00秒,新北市瑞芳區台2線 77公里9.0公尺處東側,死亡1;受傷0,自用-小客車,121.842028,25.122113
110年06月25日 15時08分00秒,高雄市前鎮區擴建路 / 高雄市前鎮區建基街,死亡1;受傷0,營業用-曳引車;普通重型-機車,120.297551,22.595945
110年06月25日 15時40分59秒,苗栗縣銅鑼鄉國道1號 138公里南側向外側,死亡1;受傷0,營業用-大貨車;自用-小客車;自用-小客車,120.787798,24.461485
110年06月26日 05時59分00秒,臺中市新社區協中街前0.0公尺,死亡1;受傷0,普通重型-機車,120.813351,24.188069
110年06月26日 09時06分00秒,桃園市楊梅區三湖里楊湖路1段818號前150.0公尺,死亡1;受傷0,營業用-曳引車;普通重型-機車,121.121605,24.911434
110年06月26日 16時10分00秒,高雄市路竹區大公路161號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.227600,22.861000
110年06月26日 20時56分00秒,彰化縣埔心鄉仁里村王厝路288號前0.0公尺前,死亡1;受傷0,腳踏自行車-慢車;自用-小客車,120.537821,23.929613
110年06月27日 04時27分00秒,臺東縣關山鎮海端西庄1號,死亡1;受傷0,自用-小客車,121.176354,23.085211
110年06月27日 07時52分00秒,雲林縣土庫鎮土庫鎮後埔里雲158甲公路連興傢俱行前路口,死亡1;受傷0,普通重型-機車;自用-小客車,120.368437,23.698010
110年06月27日 08時53分23秒,南投縣草屯鎮中山里中興路38號前,死亡1;受傷0,普通重型-機車;自用-小客車,120.681599,23.974379
110年06月27日 11時02分00秒,臺南市柳營區人和里長榮路四段、無名道路-路口(柳營區570567路燈),死亡1;受傷0,普通重型-機車;自用-小客車,120.293901,23.287475
110年06月27日 14時37分32秒,屏東縣萬丹鄉新庄村中興路1段口 / 屏東縣萬丹鄉新庄村新社路口,死亡1;受傷0,自用-小客車;普通重型-機車,120.476874,22.568447
110年06月27日 22時20分00秒,彰化縣彰化市國道1號 196公里北側向內側,死亡2;受傷3,自用-小客車;自用-小客車;自用-小客車;乘客-人;乘客-人;乘客-人,120.553433,24.099015
110年06月27日 23時24分00秒,高雄市仁武區國道1號 358公里500.0公尺處北側向輔助,死亡1;受傷0,腳踏自行車-慢車;自用-小貨車(含客、貨兩用);自用-小客車;自用-小客車;計程車-小客車;自用-小貨車(含客、貨兩用);營業用-半聯結車;自用-小客車,120.328824,22.705846
110年06月28日 12時10分00秒,雲林縣莿桐鄉中山路與雲156線道口,死亡1;受傷0,普通重型-機車;自用-大貨車,120.496117,23.761193
110年06月28日 14時08分00秒,臺中市大肚區新興里沙田路二段222號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.549464,24.140446
110年06月28日 17時19分00秒,臺南市佳里區海澄里,死亡1;受傷1,普通重型-機車;自用-小客車,120.161556,23.183682
110年06月28日 20時30分24秒,桃園市龍潭區中豐路737號前0.0公尺附近,死亡1;受傷0,行人-人;自用-小客車,121.212684,24.889726
110年06月28日 21時42分00秒,雲林縣水林鄉大溝村164公路(水林路燈090243號)對面,死亡1;受傷0,普通重型-機車;自用-小客車,120.215987,23.573532
110年06月29日 08時11分00秒,嘉義市東區民族里民族路 / 嘉義市東區民族里共和路,死亡1;受傷1,普通重型-機車;普通重型-機車,120.456303,23.476602
110年06月29日 14時18分07秒,臺南市西港區台19線 127公里300.0公尺處附近向未加蓋水溝,死亡1;受傷0,自用-小貨車(含客、貨兩用),120.199426,23.133966
110年06月30日 00時42分00秒,臺中市南屯區國道1號 181公里300.0公尺處北側向內側,死亡1;受傷0,普通重型-機車;自用-小客車,120.617928,24.139493
110年06月30日 02時54分43秒,臺北市內湖區國道1號 18公里700.0公尺處南側向路肩,死亡1;受傷0,自用-小貨車(含客、貨兩用);自用-小客車,121.589230,25.065516
110年06月30日 05時24分00秒,基隆市安樂區基金三路71-1號前0.0公尺,死亡1;受傷2,行人-人;普通重型-機車;乘客-人,121.697248,25.154440
110年06月30日 14時03分00秒,桃園市龜山區文化三路口 / 桃園市龜山區龜山一路口,死亡1;受傷1,自用-小貨車(含客、貨兩用);自用-大貨車,121.361000,25.064227
110年06月30日 14時26分20秒,臺南市永康區中正北路713號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車;自用-小貨車(含客、貨兩用),120.262097,23.046378
110年06月30日 15時23分48秒,雲林縣口湖鄉成龍村台17線與雲131公路口,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.167604,23.557308
110年06月30日 17時03分00秒,雲林縣土庫鎮後埔里雲158公路20公里處路口,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.369674,23.704837
110年06月30日 17時41分00秒,彰化縣北斗鎮大新里四海路2段 / 彰化縣北斗鎮大新里斗中路,死亡1;受傷0,普通重型-機車,120.548923,23.871435
110年06月30日 18時10分00秒,高雄市鳳山區中山東路227號前0.0公尺,死亡1;受傷2,普通輕型-機車;自用-小貨車(含客、貨兩用);普通重型-機車;普通重型-機車,120.372597,22.625055
110年07月01日 03時10分00秒,臺東縣臺東市台11線 174公里,死亡2;受傷0,自用-小客車;乘客-人,121.070355,22.710245
110年07月01日 06時52分00秒,臺中市清水區中華路口 / 臺中市清水區中山路口,死亡1;受傷0,普通重型-機車;自用-小客車,120.575785,24.278105
110年07月01日 07時02分00秒,臺中市南屯區寶山里向上路五段前0.0公尺,死亡1;受傷1,普通重型-機車;營業用-大貨車;普通重型-機車,120.595033,24.156897
110年07月01日 08時25分00秒,新北市中和區和城路1段 / 新北市中和區連城路,死亡1;受傷0,其他特種車-特種車;普通重型-機車;乘客-人;乘客-人,121.485198,24.993454
110年07月01日 09時09分00秒,臺中市西屯區協和里五權西路 / 臺中市西屯區協和里工業區二十八路,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.598150,24.163080
110年07月01日 14時05分16秒,苗栗縣獅潭鄉台六線30公里處,死亡1;受傷0,普通輕型-機車,120.877771,24.467961
110年07月01日 19時10分00秒,宜蘭縣五結鄉孝威路南側 / 宜蘭縣五結鄉五結路2段,死亡1;受傷0,自用-小客車;普通重型-機車,121.808954,24.687057
110年07月01日 19時14分31秒,臺南市永康區大灣路942巷371弄92號前,死亡1;受傷1,普通重型-機車;行人-人,120.253433,23.007770
110年07月02日 05時10分00秒,屏東縣新園鄉內庄村興安路76號前0.0公尺,死亡1;受傷0,自用-曳引車;自用-小客車;自用-小客車,120.462690,22.526200
110年07月02日 18時30分00秒,彰化縣芬園鄉芬園村縣芬路183號前0.0公尺,死亡1;受傷0,腳踏自行車-慢車,120.632992,24.009504
110年07月03日 04時53分00秒,新北市板橋區南雅南路2段 / 新北市板橋區南雅南路2段,死亡1;受傷0,行人-人;自用-小客車,121.452231,24.996701
110年07月03日 09時09分00秒,桃園市大溪區員東路289號旁(電桿三塊分線20支7),死亡1;受傷0,普通重型-機車,121.257671,24.885893
110年07月03日 09時41分00秒,屏東縣屏東市復興路南側 / 屏東縣屏東市棒球路東側,死亡1;受傷0,普通重型-機車;自用-小客車,120.486907,22.657715
110年07月03日 14時47分30秒,南投縣草屯鎮碧洲里碧興路一段,死亡1;受傷0,自用-小客車,120.656480,23.959664
110年07月03日 17時20分00秒,臺南市南區永成路2段600號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,120.195583,22.954673
110年07月04日 02時23分00秒,屏東縣新園鄉興安路328號前,死亡2;受傷0,普通重型-機車;普通重型-機車,120.459991,22.537062
110年07月04日 04時15分00秒,臺中市中區繼光里民族路 / 臺中市中區繼光里繼光街,死亡1;受傷0,警備車-特種車;行人-人,120.681521,24.137928
110年07月04日 04時30分00秒,苗栗縣銅鑼鄉苗119線23.5KM(興隆村16號),死亡1;受傷0,普通重型-機車,120.815418,24.450253
110年07月04日 08時54分00秒,彰化縣和美鎮犁盛里彰新路2段 / 彰化縣和美鎮犁盛里東谷路,死亡1;受傷1,電動自行車-慢車;普通重型-機車,120.535343,24.098581
110年07月04日 11時13分00秒,臺中市后里區墩東里成功路 / 臺中市后里區墩東里文明路,死亡1;受傷0,自用-小客車;普通重型-機車,120.717639,24.306852
110年07月04日 12時50分00秒,屏東縣林邊鄉中山路281-1號前0.0公尺,死亡1;受傷0,普通輕型-機車;普通重型-機車,120.514172,22.435116
110年07月04日 16時05分00秒,新竹市香山區台61線與中華路五段208巷口,死亡1;受傷1,自用-小客車;普通重型-機車;乘客-人,120.916702,24.785565
110年07月04日 23時07分00秒,屏東縣長治鄉中興路635號,死亡1;受傷0,普通重型-機車,120.548806,22.694977
110年07月05日 07時54分00秒,新北市坪林區新北市坪林區北宜公路54.1公里處,死亡1;受傷0,大型重型2(250-550C.C.)-機車,121.720231,24.901738
110年07月05日 13時19分00秒,臺南市永康區中山北路699號,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車;自用-小客車,120.275278,23.030751
110年07月05日 14時40分00秒,臺中市太平區聖和里長龍路一段中山巷158號前0.0公尺,死亡1;受傷0,普通重型-機車,120.753043,24.118547
110年07月05日 15時39分35秒,高雄市田寮區國道3號 370公里100.0公尺處南側向外側,死亡1;受傷1,自用-小客車;自用-大貨車;乘客-人,120.381792,22.851111
110年07月05日 17時03分00秒,彰化縣二林鎮華崙里二溪路7段 / 彰化縣二林鎮華崙里二溪路7段,死亡1;受傷0,電動自行車-慢車;自用-小貨車(含客、貨兩用),120.444650,23.954564
110年07月05日 19時48分00秒,屏東縣萬丹鄉維新路西側 / 屏東縣萬丹鄉頂本路,死亡1;受傷1,自用-小客車;普通重型-機車;乘客-人,120.498198,22.604950
110年07月05日 22時58分00秒,臺北市文山區羅斯福路6段23號前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人,121.539819,24.999989
110年07月06日 07時34分00秒,臺中市霧峰區丁台里丁台路 / 臺中市霧峰區丁台里丁台路,死亡1;受傷1,電動自行車-慢車;大型重型1(550C.C.以上)-機車,120.672783,24.044752
110年07月06日 09時16分33秒,屏東縣內埔鄉北寧路二段1巷與樹寧巷口,死亡1;受傷0,普通重型-機車,120.559854,22.627195
110年07月06日 10時19分00秒,臺中市沙鹿區清泉里中清路六段 / 臺中市沙鹿區清泉里東大路二段,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.614963,24.243550
110年07月06日 19時32分00秒,臺北市大安區忠孝東路3段224號前0.0公尺,死亡1;受傷1,計程車-小客車;普通重型-機車;普通重型-機車;普通重型-機車,121.540396,25.041589
110年07月07日 07時10分00秒,屏東縣屏東市忠孝路口 / 屏東縣屏東市廣東路,死亡1;受傷0,普通重型-機車;自用-大貨車,120.489077,22.687793
110年07月07日 12時43分00秒,新北市八里區新北市八里區長道坑道路電桿399492,死亡1;受傷0,普通重型-機車,121.396111,25.109071
110年07月07日 12時55分00秒,高雄市鳳山區五甲一路 / 高雄市鳳山區臨海路,死亡1;受傷0,普通重型-機車;自用-小客車,120.345300,22.604630
110年07月07日 16時36分00秒,臺中市北區邱厝里育德路2號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,120.680462,24.157328
110年07月07日 17時02分00秒,高雄市梓官區赤崁東路90巷赤東0202路燈號前0.0公尺,死亡1;受傷1,普通重型-機車;腳踏自行車-慢車,120.250617,22.737009
110年07月07日 17時10分00秒,高雄市小港區港美街 / 高雄市小港區小港路,死亡1;受傷0,自用-小客車;行人-人,120.340075,22.565256
110年07月08日 04時55分00秒,基隆市暖暖區基隆市暖暖區八堵路八堵隧道口往市區方向,死亡1;受傷0,普通重型-機車;自用-小客車;自用-小客車;自用-小貨車(含客、貨兩用),121.733213,25.110002
110年07月08日 08時40分50秒,臺南市安南區安和路五段與安和路五段336巷,死亡1;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車;自用-小客車,120.216101,23.069372
110年07月08日 09時15分13秒,桃園市楊梅區台1線 51公里990.0公尺處南側向內側,死亡1;受傷0,普通重型-機車;自用-小客車,121.109725,24.895519
110年07月08日 16時40分00秒,新竹縣竹北市鳳岡路2段口 / 新竹縣竹北市鳳岡路2段口,死亡1;受傷0,自用-大貨車;普通重型-機車,120.976652,24.859527
110年07月08日 17時27分00秒,屏東縣南州鄉七塊村七塊路6號前0.0公尺附近,死亡1;受傷0,普通重型-機車,120.502131,22.478842
110年07月08日 19時26分00秒,臺東縣關山鎮台9線 320公里900.0公尺處北側,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.152701,23.018217
110年07月09日 10時00分30秒,屏東縣佳冬鄉中山路南側 / 屏東縣佳冬鄉大同路西側,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.563086,22.428113
110年07月09日 21時04分00秒,臺北市士林區延平北路6段 / 臺北市士林區通河西街2段,死亡1;受傷0,計程車-小客車;普通重型-機車,121.497967,25.093992
110年07月10日 06時58分00秒,桃園市中壢區環西路2段101號前0.0公尺附近,死亡1;受傷0,普通重型-機車,121.209483,24.964076
110年07月10日 15時53分00秒,桃園市桃園區三民路二段口 / 桃園市桃園區中央街口,死亡1;受傷0,普通重型-機車;自用-小客車,121.315512,25.001108
110年07月10日 17時08分22秒,雲林縣崙背鄉南陽村武昌巷路燈電桿211369號前,死亡1;受傷0,自用-小客車;普通重型-機車,120.345302,23.761058
110年07月10日 19時25分00秒,彰化縣埔心鄉義民村員鹿路2段67號前0.0公尺前,死亡1;受傷0,自用-小客車;普通重型-機車,120.549625,23.952396
110年07月10日 21時21分00秒,臺南市後壁區長短樹里南85線與後廓外環道口,死亡1;受傷0,普通輕型-機車;自用-小客車,120.333313,23.372045
110年07月11日 09時04分00秒,桃園市龜山區文化一路41號前0.0公尺附近,死亡1;受傷1,電動自行車-慢車;營業用-曳引車;乘客-人,121.370524,25.060931
110年07月11日 12時10分00秒,雲林縣四湖鄉湖寮村下寮產業道路,死亡1;受傷0,自用-小客車;普通重型-機車,120.224295,23.637832
110年07月11日 12時37分12秒,宜蘭縣宜蘭市慈航路口 / 宜蘭縣宜蘭市雪峰路口,死亡1;受傷2,自用-小客車;普通重型-機車;乘客-人,121.741353,24.768378
110年07月11日 13時37分00秒,彰化縣彰化市富貴里中正路2段 / 彰化縣彰化市富貴里中華路,死亡1;受傷0,普通重型-機車;自用-小客車,120.537008,24.077039
110年07月12日 07時22分00秒,彰化縣彰化市國聖里國聖路175弄前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,120.572646,24.104538
110年07月12日 08時30分00秒,臺中市后里區公館里安眉路 / 臺中市后里區公館里福安路,死亡1;受傷1,普通重型-機車;營業用-小貨車(含客、貨兩用),120.740993,24.329555
110年07月12日 14時33分00秒,新北市板橋區新北市板橋區堤外機車專用道路2K+500,死亡1;受傷0,普通重型-機車,121.469820,25.036062
110年07月12日 21時24分00秒,新北市五股區新北市五股區臺64線道路五股二匝道往五股方向轉彎處,死亡1;受傷0,營業用-曳引車,121.398394,25.141247
110年07月13日 06時37分00秒,屏東縣新埤鄉新埤村萬興路185號附近,死亡1;受傷0,普通輕型-機車;自用-小貨車(含客、貨兩用),120.559685,22.469845
110年07月13日 08時08分00秒,屏東縣屏東市自由路與口 / 屏東縣屏東市迪化一街口口,死亡1;受傷0,電動自行車-慢車;自用-小客車;自用-小客車,120.478683,22.681779
110年07月13日 08時15分00秒,嘉義縣大埔鄉和平村台3線335公里處,死亡1;受傷0,大型重型1(550C.C.以上)-機車;拼裝車-其他車,120.606243,23.308373
110年07月13日 08時32分00秒,臺中市大雅區西寶里昌平路四段515號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,120.670840,24.227260
110年07月13日 09時09分00秒,嘉義縣大林鎮西林里民生路與中正路路口,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.451017,23.600061
110年07月13日 16時42分20秒,宜蘭縣冬山鄉冬山路2段西側 / 宜蘭縣冬山鄉大安路南側,死亡1;受傷0,普通重型-機車;自用-小客車,121.788790,24.634272
110年07月13日 19時18分17秒,臺南市白河區南90 8公里700.0公尺處,死亡1;受傷0,自用-小客車;行人-人,120.440771,23.376413
110年07月13日 19時25分14秒,新竹縣竹東鎮長春路3段261號前0.0公尺,死亡1;受傷1,行人-人;普通重型-機車;自用-小客車,121.081812,24.745390
110年07月13日 19時30分00秒,桃園市中壢區圓光路2段口 / 桃園市中壢區大莊路口,死亡1;受傷1,自用-小客車;普通重型-機車,121.172697,25.007993
110年07月14日 05時57分00秒,雲林縣虎尾鎮西屯里大屯334號前,死亡1;受傷2,普通重型-機車;腳踏自行車-慢車;乘客-人,120.384376,23.703080
110年07月14日 10時43分00秒,新北市八里區新北市八里區臺64線道路與臺64線道路八里匝道往中華路,死亡1;受傷1,營業用-曳引車;自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);營業用-曳引車;自用-小貨車(含客、貨兩用);租賃車-小客車;自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);自用-小客車,121.444316,25.058071
110年07月14日 16時02分58秒,南投縣草屯鎮北投里北投路159號前,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.664849,23.983981
110年07月14日 20時29分00秒,高雄市大寮區鳳林二路 / 高雄市大寮區新厝路,死亡1;受傷2,自用-小客車;普通重型-機車;乘客-人;乘客-人,120.411817,22.561158
110年07月15日 07時45分00秒,臺中市大里區健民里仁化工三路 / 臺中市大里區健民里仁化工一路,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.725491,24.091424
110年07月15日 17時21分00秒,彰化縣福興鄉台61線 183公里100.0公尺處南側向內側,死亡1;受傷0,營業用-大貨車,120.394402,24.036757
110年07月16日 06時33分00秒,高雄市橋頭區成功南路新莊1912路燈號前0.0公尺,死亡1;受傷1,普通重型-機車;普通輕型-機車,120.314700,22.749350
110年07月16日 08時40分00秒,屏東縣九如鄉台3線427.5公里與堤防路口,死亡1;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用);乘客-人,120.489824,22.739527
110年07月16日 09時20分00秒,臺東縣卑南鄉台9線 345公里600.0公尺處,死亡1;受傷1,自用-小客車;自用-大貨車,121.097182,22.864567
110年07月16日 10時38分00秒,新北市貢寮區新北市貢寮區臺2線道路112.3公里處,死亡1;受傷0,普通重型-機車;自用-大貨車,121.944716,25.015890
110年07月16日 13時13分00秒,臺中市霧峰區四德里四德路474-2號前0.0公尺,死亡1;受傷1,自用-小客車;民營公車-大客車,120.675742,24.063981
110年07月16日 22時52分00秒,彰化縣埤頭鄉國道1號 218公里北側向中線,死亡1;受傷2,自用-小客車;自用-小客車;乘客-人,120.490954,23.879498
110年07月17日 10時40分17秒,花蓮縣瑞穗鄉瑞祥村温泉路2段東側 / 花蓮縣瑞穗鄉瑞祥村北六路口,死亡1;受傷2,自用-小貨車(含客、貨兩用);民營客運-大客車;乘客-人,121.353587,23.493791
110年07月18日 06時10分00秒,桃園市平鎮區南平路2段46號前0.0公尺,死亡1;受傷0,普通重型-機車,121.203068,24.921265
110年07月18日 06時17分00秒,新北市淡水區新北市淡水區中正東路2段179號之往台北對面,死亡1;受傷1,普通重型-機車;乘客-人,121.460478,25.143585
110年07月18日 11時18分00秒,臺中市沙鹿區居仁里臺灣大道七段957號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車;自用-小客車;自用-小客車,120.563056,24.240000
110年07月18日 13時32分00秒,新北市新莊區思源路 / 新北市新莊區中原路,死亡1;受傷0,自用-小客車;大型重型1(550C.C.以上)-機車,121.460423,25.042322
110年07月18日 19時23分00秒,嘉義縣太保市東勢里產業道路(燈桿安東15東分2附近),死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.307717,23.463198
110年07月19日 07時35分00秒,桃園市龍潭區中正路三坑段附近 / 桃園市龍潭區永福路口,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,121.244414,24.841457
110年07月19日 08時12分39秒,臺東縣池上鄉福文村東3線與文田路路口,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,121.218279,23.129391
110年07月19日 16時13分00秒,臺南市新化區護國里中山路96號前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-大貨車,120.313598,23.042199
110年07月19日 17時04分00秒,桃園市平鎮區復旦路二段口 / 桃園市平鎮區廣泰路口,死亡1;受傷1,普通重型-機車;普通重型-機車,121.201386,24.947345
110年07月20日 00時04分00秒,高雄市橋頭區國道1號 352公里700.0公尺處南側向內側,死亡1;受傷2,自用-小客車;自用-小客車;自用-小客車;自用-小客車;自用-小客車;乘客-人;乘客-人,120.333758,22.753875
110年07月20日 08時59分00秒,花蓮縣玉里鎮長良143號前,死亡1;受傷0,普通重型-機車;自用-小客車,121.288295,23.277001
110年07月20日 21時05分00秒,新竹市香山區中華路六段460巷,死亡1;受傷0,自用-小客車;行人-人,120.913117,24.734015
110年07月20日 23時08分00秒,臺中市北屯區東山里東山路一段 / 臺中市北屯區東山里祥順路二段,死亡1;受傷1,普通重型-機車;自用-小客車;乘客-人,120.737369,24.178431
110年07月21日 06時15分00秒,嘉義市東區民族里吳鳳北路 / 嘉義市東區民族里光華路,死亡1;受傷1,普通重型-機車;普通重型-機車,120.453435,23.477829
110年07月21日 11時35分00秒,桃園市中壢區忠義路49號前0.0公尺,死亡1;受傷0,普通重型-機車;普通重型-機車;普通重型-機車,121.239674,24.961530
110年07月21日 16時33分00秒,新竹縣橫山鄉中豐路三段66號,死亡1;受傷0,行人-人;自用-大貨車,121.162575,24.739019
110年07月21日 17時20分00秒,彰化縣二林鎮西斗里斗苑路2段806號前0.0公尺前,死亡1;受傷0,普通重型-機車;自用-小客車,120.430932,23.896428
110年07月21日 18時35分38秒,苗栗縣通霄鎮坪頂里苗37線6公里處,死亡1;受傷0,自用-小客車,120.712843,24.441051
110年07月21日 20時58分59秒,花蓮縣吉安鄉東里十一街64號前0.0公尺,死亡1;受傷0,行人-人;計程車-小客車,121.596121,23.964043
110年07月22日 06時42分28秒,臺東縣臺東市中華路口 / 臺東縣臺東市復興路口,死亡1;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車;乘客-人,121.150913,22.752001
110年07月22日 08時23分04秒,屏東縣萬丹鄉田厝村惠崙路口 / 屏東縣萬丹鄉田厝村惠崙路口,死亡1;受傷1,普通重型-機車;普通重型-機車,120.475039,22.587652
110年07月22日 10時50分00秒,新北市三重區國道路1段135號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.481260,25.072889
110年07月22日 11時17分06秒,苗栗縣通霄鎮國道3號 141公里400.0公尺處南側向內側,死亡1;受傷1,自用-小客車;營業用-大貨車;乘客-人,120.703844,24.490201
110年07月22日 15時20分28秒,宜蘭縣蘇澳鎮蘇濱路3段176號前8.0公尺附近,死亡1;受傷0,行人-人;營業用-曳引車,121.835110,24.643009
110年07月23日 02時01分00秒,高雄市路竹區高11鄉道社東550燈桿號前0.0公尺,死亡1;受傷0,普通重型-機車,120.286300,22.863450
110年07月23日 10時30分00秒,桃園市新屋區東明里中山西路1段438號前0.0公尺附近,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,121.086092,24.975993
